Word,N
tree,9
hammer,8
skunk,33
kangaroo,32
grasshopper,28
onion,30
ladder,31
peacock,30
saw,32
bear,29
giraffe,33
cauliflower,30
clock,30
envelope,26
belt,31
airplane,27
cigar,30
dartboard,30
flamingo,28
guitar,29
hat,30
sock,29
rollingpin,29
shoe,29
needle,30
rollarskate,31
lawnmower,29
necktie,29
plunger,28
pepper,31
raccoon,32
sea horse,30
toothbrush,31
peanut,27
lightbulb,30
hulahoop,29
necklace,30
watermelon,30
whisk,31
well,28
clothespin,26
padlock,26
snowman,24
spinning top,24
moon,24
wrench,23
suit,23
